Reviews1,Theme1
Good work environment,Work environment
The facilities,Faciltities
Faciltities,Faciltities
Friendly work environment,Work environment
Friendly work environment,Work environment
Focus on employees and clients, 
Friendly work environment,Work environment
Good work environment,Work environment
Work environment,Work environment
The leaders,leaders
Good work environment.,Work environment
Team work and transparency ,Team work and transparency 
"Team, the bigger purpose",Team work and transparency 
Office environment,Work environment
Good work place ,Work environment
Facilities,Faciltities
Patient care,Patient care
Friendly work environment,Work environment
 good work environment,Work environment
"Transprent work enviorment, if we want to do some new project our orgnaistation always help .",Team work and transparency 
Good work environment.,Work environment
Good work environment.,Work environment
The smiling face of people of my organization.  i feel all the person in my organization  work as a family,People in organization
Openness in which we are able to give our opinion and work,Openness to share opinions
Being with our ownself,Being with our ownself
Positive colleagues ,"People in organization, "
I love the culture here. there is no cabin politics. people are appreciated for their work and nothing else maters!,
Colleagues and other activity,"People in organization, "
Team work,Team work and transparency 
"Friendly environment,  ",Work environment
A free and openess work enviourment,"Work environment, People in organization, "
"At workplace when in stress or immediate requirement of work, jokes said by department members in between so that we all feel happy and relax in completing the work.",Work environment
 homely atmosphere ,Work environment
Transparency,Team work and transparency 
Committed to sevabhav and quality improvement,Committed to sevabhav and quality improvement
"Commitments, transparency, team work. example- annual award winners and less attrition",Team work and transparency 
Positivism led by head of hosptial,Positivism at work Environment
Colleagues  engaging with each other;  opportunities to get involved in initiatives & projects,"Work environment, People in organization, "
Balanced personal and official life,Balanced personal and official life
My boss and the space to work by executing ideas. there to take care in case things went wrong or i was required to learn. highly empowering. the trust incurred in me had never let me do wrong. ,"boss, Work environment"
